1,1,7,6,5,6,6,5,7,8,8,5,5,7,6,6
1,2,8,7,7,7,7,7,7,7,7,6,7,8,8,8
1,3,8,6,6,2,6,2,7,5,4,4,4,6,4,5
1,4,8,6,6,2,6,2,7,5,4,4,4,6,4,5
1,5,3,4,4,2,4,4,4,4,4,4,4,3,3,4
1,6,3,3,3,2,3,2,7,4,5,4,4,7,5,5
1,7,7,7,7,7,7,7,7,7,7,8,7,8,8,7
1,8,3,3,3,3,3,7,6,4,4,4,4,6,5,4
1,9,6,5,6,5,4,4,4,4,5,6,6,6,6,6
1,10,3,3,3,2,2,2,6,3,5,3,2,4,3,3
1,11,2,3,3,2,2,2,6,5,6,3,3,3,2,3
1,12,2,2,3,2,3,3,6,4,5,4,4,3,4,4
1,13,2,2,2,2,2,2,7,6,5,2,2,5,3,3
1,14,2,2,2,2,2,2,6,4,5,4,3,3,3,3
1,15,8,7,8,7,8,8,8,8,7,8,8,6,8,3
1,16,8,3,4,5,7,4,8,6,8,5,5,5,7,6
1,17,8,8,8,4,7,7,8,8,8,9,8,7,7,8
1,18,8,3,5,6,4,8,8,5,5,6,6,6,6,7
1,19,8,7,6,6,6,7,7,5,5,7,7,7,7,7
1,20,8,4,6,5,4,6,7,4,4,6,6,9,7,7
1,21,8,6,6,6,3,3,7,4,4,6,6,5,6,6
1,22,1,2,1,1,1,1,4,5,5,2,2,4,2,1
1,23,2,2,3,2,3,1,6,4,5,4,4,5,4,4
1,24,2,2,2,2,2,2,6,4,4,3,3,3,3,3
1,25,7,3,3,5,4,4,6,5,4,4,4,5,4,4
1,26,6,3,4,3,3,2,7,4,4,6,6,5,4,3
2,1,7,7,7,9,7,2,4,2,5,4,4,10,7,7
2,2,0,5,5,0,1,2,2,6,1,0,0,1,0,0
2,3,3,7,8,2,3,4,4,5,4,1,1,2,0,1
2,4,0,4,7,1,1,2,1,5,2,0,0,4,2,2
2,5,1,5,7,2,3,6,6,6,6,1,2,5,2,2
2,6,1,7,7,1,2,3,7,6,6,2,1,7,1,2
2,7,10,7,9,10,8,3,8,7,8,6,6,6,7,6
2,8,1,8,8,1,2,4,4,5,6,3,2,9,3,2
2,9,0,6,6,0,2,3,6,6,7,1,1,6,2,2
2,10,2,6,8,2,7,4,7,6,6,2,2,7,3,2
2,11,2,6,7,2,3,2,3,4,7,2,1,6,2,3
2,12,0,6,7,4,5,4,4,8,6,2,1,3,1,1
2,13,2,7,9,3,4,3,3,6,6,4,3,3,4,4
2,14,7,8,9,6,7,3,7,8,7,4,3,6,4,4
2,15,4,6,6,3,6,6,7,6,7,3,4,6,4,6
2,16,6,7,7,6,6,7,7,6,7,4,4,6,6,6
2,17,6,7,6,6,6,3,4,8,7,4,4,6,6,6
2,18,4,6,7,1,4,3,5,4,4,2,3,7,4,4
2,19,4,6,7,4,4,4,6,6,5,4,4,7,4,4
2,20,3,6,8,2,7,6,7,4,6,5,5,7,4,5
2,21,6,6,6,6,6,3,6,6,6,4,4,4,4,4
2,22,9,8,6,7,6,3,6,6,4,4,5,5,3,3
2,23,4,7,7,2,5,5,6,4,4,2,2,5,3,3
2,24,6,7,6,6,7,3,6,6,6,4,4,6,4,5
2,25,6,7,6,7,6,4,4,4,5,4,4,7,4,4
2,26,6,6,7,7,5,4,6,5,4,4,4,7,4,4
2,27,4,6,6,2,3,2,4,4,4,1,0,3,2,2
2,28,2,6,6,2,3,4,5,5,6,1,3,3,4,3
3,1,0,4,3,0,1,5,1,3,5,1,3,1,2,2
3,2,4,6,6,3,4,6,8,7,7,4,6,2,1,2
3,3,10,9,6,8,6,10,4,2,3,8,7,5,7,7
3,4,0,3,2,1,2,7,3,3,5,4,4,1,1,2
3,5,4,6,5,2,6,5,5,5,4,3,3,3,5,5
3,6,1,2,1,2,3,7,2,6,7,3,6,2,3,2
3,7,1,2,3,3,2,3,1,5,3,2,1,6,1,1
3,8,0,1,1,1,0,3,2,1,1,1,0,3,1,2
3,9,1,5,3,3,2,4,6,5,6,0,1,3,1,1
3,10,2,3,5,2,4,5,3,3,3,2,2,1,1,2
3,11,7,5,4,7,4,7,3,5,2,3,7,6,3,5
3,12,7,5,4,7,5,7,3,4,3,3,2,3,3,3
3,13,8,7,7,8,6,7,4,5,4,6,7,5,5,7
3,14,6,4,5,6,4,6,5,6,6,5,4,4,6,6
3,15,5,6,6,4,6,6,6,6,4,5,4,6,5,3
